Account Name,Deal Stage,Amount,Close Date,Created Date,Owner,Industry,Region
"Carpenter, Hutchinson and Vance",CLOSED LOST,87956.49,12/2/2026,3/9/2025,Traci Bell DDS,,Europe
Bolton-Curry,Prospecting,83816.12,5/1/2026,1/19/2025,Kathleen Harris,Finance,South America
Harrell and Sons,,70491.09,,1/23/2025,Richard Warren,Retail,South America
,Prospecting,87124.11,4/26/2026,2/25/2025,David Potter,Finance,Asia
Hall-Sparks,PROPOSAL,83337.06,12/5/2025,3/28/2025,Spencer Stanley,,North America
"Smith, Grant and Allen",Closed Won,92222.49,3/30/2026,1/19/2025,Amanda Owens,Retail,North America
Orr Ltd,Negotiation,39167.84,10/12/2025,4/26/2025,Rebecca Spence,Technology,North America
Smith-Moore,NEGOTIATION,73276.61,11/24/2025,3/4/2025,Mark Lopez,Retail,Europe
Mclaughlin Inc,Prospecting,29424.36,12/29/2025,2/17/2025,David Rocha,Technology,South America
Schroeder and Sons,Proposal,8911.79,10/27/2026,4/2/2025,Jessica Ball,Healthcare,Europe
"Villegas, Gomez and Ortiz",proposal,90966.08,12/29/2025,,Spencer Stanley,Manufacturing,Asia
"Moreno, Griffin and Lewis",CLOSED WON,21956.8,7/17/2026,4/16/2025,Rebecca Spence,Finance,Europe
Schultz-Waller,Prospecting,71566,4/13/2026,2/20/2025,Jason Hudson,Manufacturing,South America
"Thompson, Nelson and Peterson",Closed Lost,87498.63,3/21/2026,2/13/2025,Richard Warren,Technology,Asia
Lane-Price,proposal,,5/30/2026,3/4/2025,Alexandra Ramos,Technology,Europe
Black Group,negotiation,42995.65,11/23/2026,1/26/2025,Ryan Mann,Manufacturing,South America
"Fisher, Sweeney and Newman",Negotiation,55936.41,8/29/2026,3/29/2025,Alexandra Ramos,Education,Europe
Green LLC,proposal,94328.24,5/17/2026,,Richard Warren,Manufacturing,Europe
"Fisher, Sweeney and Newman",qualification,57016.36,10/15/2026,1/19/2025,Michael Horton,Retail,Asia
Tyler Group,Qualification,87212.73,12/23/2025,1/14/2025,Martin Johnston,Education,Europe
Hurst and Sons,Closed Won,88675.38,11/23/2026,4/12/2025,,Education,South America
Green LLC,Closed Lost,44474.26,12/22/2025,4/6/2025,Jennifer Cox,Education,North America
"Smith, Grant and Allen",Proposal,10373.41,12/18/2025,,Kristen Obrien,Healthcare,Asia
Campbell-Hanson,prospecting,37979.82,12/28/2025,2/14/2025,,Manufacturing,North America
Sweeney-Graves,qualification,33810.96,9/8/2026,,Jason Hudson,Manufacturing,South America
Ramirez PLC,proposal,32719.08,7/10/2026,,Richard Warren,Finance,Asia
Liu-Malone,Qualification,50470.29,7/3/2026,3/29/2025,James Burke,Manufacturing,North America
"Carpenter, Hutchinson and Vance",Closed Lost,36782.6,6/13/2026,,Bradley Macdonald,Education,North America
Castaneda-Phillips,closed lost,"$20,973.03 ",10/10/2026,3/25/2025,Brittany Chaney,Healthcare,Asia
"Kaufman, Abbott and Mendez",qualification,65848.95,5/6/2026,3/25/2025,Marissa Perry,Manufacturing,Europe
Small PLC,prospecting,60527.91,12/19/2025,2/6/2025,Kathleen Harris,Technology,Europe
Nichols Ltd,Prospecting,54800.74,6/23/2026,2/17/2025,Jessica Ball,Technology,Europe
"Griffith, Mejia and Rodriguez",Negotiation,35942.6,9/6/2026,2/27/2025,David Rocha,Manufacturing,Asia
Lang-Freeman,closed lost,56590.21,10/12/2025,4/10/2025,Marissa Perry,Manufacturing,Asia
Vargas Ltd,PROPOSAL,81504.2,9/28/2026,2/24/2025,James Burke,Education,Europe
Martin-Hernandez,negotiation,90759.83,11/17/2025,1/7/2025,Martin Johnston,Manufacturing,Asia
"Davis, Woods and Lewis",closed lost,67930.45,7/6/2026,4/11/2025,Robert Moore,Healthcare,South America
"Fisher, Sweeney and Newman",NEGOTIATION,4290.23,1/10/2026,2/23/2025,David Rocha,Technology,Asia
Carlson-Brown,QUALIFICATION,,11/12/2025,4/19/2025,Nicole Curtis,Retail,South America
Wilson and Sons,negotiation,29514.22,5/13/2026,3/6/2025,Marissa Perry,,North America
Paul Ltd,Negotiation,11192.19,9/27/2026,,Bradley Macdonald,Retail,South America
Liu-Malone,QUALIFICATION,8906.15,10/4/2025,3/12/2025,Kathleen Harris,Manufacturing,South America
Larson-Erickson,negotiation,26197,5/18/2026,4/7/2025,Rebecca Spence,Finance,Europe
Hurst and Sons,Prospecting,10340.02,10/14/2025,2/22/2025,Craig Johnson,Finance,Europe
Smith-Moore,Proposal,72729.52,3/26/2026,2/19/2025,Michael Horton,Healthcare,North America
,PROPOSAL,83562.67,11/23/2025,2/20/2025,Catherine Ray,Healthcare,South America
Roman-Parker,Prospecting,35331.21,10/7/2025,5/4/2025,Amanda Owens,Education,Asia
Williams Ltd,QUALIFICATION,42259.99,3/15/2026,4/3/2025,Martin Johnston,Retail,Europe
Green Inc,Prospecting,27150.58,,5/1/2025,Kathleen Harris,Technology,North America
Wright-Moran,Closed Lost,2378.06,3/2/2026,2/20/2025,Alexandra Ramos,Technology,Asia
Smith-Moore,proposal,5579.43,9/18/2026,3/13/2025,Jason Hudson,Education,Europe
Schroeder and Sons,negotiation,43091.97,7/7/2026,4/22/2025,Nicole Curtis,Technology,Asia
Compton Inc,Negotiation,98809.54,10/16/2026,5/31/2025,,Finance,Asia
"Fisher, Sweeney and Newman",QUALIFICATION,79536.45,7/2/2026,3/3/2025,Jason Hudson,Education,Europe
Rogers-Rhodes,qualification,70572.62,10/13/2025,5/11/2025,,Healthcare,North America
Rodriguez Group,Closed Lost,2632.7,2/21/2026,1/20/2025,Martin Johnston,Education,
Graham-Simon,PROPOSAL,,12/24/2025,1/11/2025,Jessica Ball,Technology,Europe
Wilson and Sons,PROSPECTING,12522.05,7/5/2026,5/14/2025,Michael Horton,,South America
,Proposal,48112.95,3/17/2026,4/9/2025,Denise Lee,Technology,South America
Roman-Parker,Closed Lost,,3/30/2026,2/18/2025,Denise Lee,Education,South America
Robinson Ltd,QUALIFICATION,52812.39,9/18/2026,3/8/2025,Bradley Macdonald,Healthcare,
Tucker LLC,Prospecting,,4/30/2026,4/8/2025,Ryan Mann,Manufacturing,Asia
,CLOSED WON,5628.93,1/3/2026,1/2/2025,Brittany Chaney,Education,North America
Carlson-Brown,closed lost,10066.43,3/9/2026,5/19/2025,James Burke,Education,Asia
Meyer-Kelly,Proposal,,7/7/2026,4/13/2025,Brittany Chaney,Technology,North America
Tyler Group,Closed Lost,74111.68,8/5/2026,3/11/2025,Yvette Griffith,Technology,North America
,closed lost,17993.77,6/7/2026,5/17/2025,Ryan Mann,Education,South America
Wright-Moran,QUALIFICATION,46388.78,9/28/2026,5/9/2025,Jonathan Patterson,Retail,
Parks Inc,Qualification,32577.85,6/2/2026,,Nicole Curtis,Manufacturing,Europe
Hurst and Sons,Closed Lost,41089.58,10/14/2025,5/1/2025,Amanda Owens,Education,South America
,PROPOSAL,83659.66,8/14/2026,4/28/2025,Jonathan Patterson,Finance,South America
Wilson and Sons,Prospecting,41023.63,10/13/2025,2/3/2025,Spencer Stanley,Technology,South America
"Patton, Mann and Chen",closed won,85559.26,12/31/2026,,Jonathan Patterson,Manufacturing,Asia
"Gonzalez, Jarvis and Cohen",negotiation,97040.38,10/12/2026,4/17/2025,Jessica Ball,Manufacturing,Asia
Compton Inc,closed lost,39591.43,1/6/2026,3/17/2025,Alexandra Ramos,Technology,North America
Wilson and Sons,closed lost,57371.04,11/8/2026,2/28/2025,Jessica Ball,Healthcare,Asia
"Lynch, Johnson and Hester",Proposal,9366.13,12/4/2026,4/10/2025,Catherine Ray,Finance,Europe
Paul Ltd,Prospecting,99509.56,7/22/2026,3/18/2025,Alexandra Ramos,,Asia
Smith-Moore,Proposal,16754.37,3/19/2026,5/3/2025,Mark Lopez,Healthcare,Asia
Robinson Ltd,Closed Won,36446.37,1/17/2026,1/4/2025,David Potter,Retail,South America
"Griffith, Mejia and Rodriguez",closed lost,73221.25,4/28/2026,3/13/2025,David Potter,Retail,Asia
"Gonzalez, Jarvis and Cohen",qualification,25267.92,11/19/2025,3/28/2025,Kathleen Harris,Finance,South America
Roman-Parker,Closed Won,74321.32,6/4/2026,1/19/2025,Rebecca Spence,Healthcare,North America
"Carpenter, Hutchinson and Vance",QUALIFICATION,29563.79,2/28/2026,2/1/2025,Amanda Owens,Retail,Asia
Myers Ltd,Closed Lost,67868.43,3/17/2026,5/11/2025,Alexandra Ramos,Retail,Asia
Tucker and Sons,closed lost,79100.42,7/10/2026,,,Healthcare,Asia
"Pearson, James and Wagner",Closed Won,76837.61,2/26/2026,4/17/2025,David Potter,Finance,South America
Schroeder and Sons,closed lost,32216.66,1/2/2026,1/1/2025,Miss Dorothy Collins DVM,Finance,South America
"Levine, Porter and Reed",qualification,,3/6/2026,1/23/2025,Jason Hudson,Technology,South America
"Gonzalez, Jarvis and Cohen",Prospecting,80771.6,11/12/2026,4/20/2025,Rebecca Spence,Education,Europe
,,68965.97,5/16/2026,5/23/2025,Jennifer Cox,Technology,Asia
"Miles, Alvarado and Bauer",Closed Won,,12/17/2026,5/11/2025,Bradley Macdonald,Education,South America
"Thompson, Nelson and Peterson",negotiation,"$36,668.42 ",11/23/2026,2/3/2025,Brittany Chaney,Manufacturing,Europe
Hall-Sparks,Negotiation,56581.7,6/6/2026,1/9/2025,Catherine Ray,Retail,Europe
"Fisher, Sweeney and Newman",PROPOSAL,19291.32,3/2/2026,2/22/2025,Ryan Mann,Education,South America
Rodriguez Inc,Qualification,84230.76,9/3/2026,1/27/2025,David Rocha,Retail,North America
Liu-Malone,CLOSED LOST,,6/20/2026,,Jason Hudson,Manufacturing,South America
Miller Group,qualification,67001.81,3/23/2026,4/11/2025,Rebecca Spence,Retail,Asia
Bolton-Curry,Negotiation,,10/24/2025,2/20/2025,Ryan Mann,Education,North America
Schroeder and Sons,closed lost,,11/5/2025,3/16/2025,Jonathan Patterson,Manufacturing,South America
Nichols Ltd,CLOSED LOST,43692.55,10/26/2026,1/22/2025,Brittany Chaney,Manufacturing,Asia
"Fisher, Sweeney and Newman",Closed Won,52572.15,11/2/2026,2/3/2025,Miss Dorothy Collins DVM,Education,South America
Romero PLC,closed won,63449.58,12/12/2025,2/18/2025,Rebecca Spence,Manufacturing,Europe
"Moreno, Griffin and Lewis",QUALIFICATION,57752.79,8/12/2026,1/24/2025,David Potter,Manufacturing,Asia
Roman-Parker,PROPOSAL,38588.87,3/2/2026,4/16/2025,Brittany Chaney,Finance,Asia
Vargas Ltd,closed lost,26374.7,11/12/2026,5/22/2025,Spencer Stanley,Healthcare,South America
Knight-Wilcox,Prospecting,84073.31,6/22/2026,3/3/2025,Robert Moore,Retail,Asia
Davis and Sons,Closed Won,51734.45,4/1/2026,1/10/2025,Yvette Griffith,Manufacturing,South America
Rodriguez Inc,Closed Lost,"$18,802.49 ",7/15/2026,4/6/2025,Jennifer Cox,Retail,North America
Rodriguez Inc,,71760.59,12/14/2026,3/20/2025,Rebecca Spence,Retail,Europe
Davis and Sons,Closed Won,67301.56,9/28/2026,4/22/2025,Amanda Owens,Retail,Europe
Carlson-Brown,prospecting,14661.21,10/28/2025,,Rebecca Spence,Healthcare,Europe
Carlson-Brown,Prospecting,43481.55,12/25/2026,3/4/2025,Michael Horton,,Asia
"Gonzalez, Jarvis and Cohen",closed lost,"$78,154.00 ",2/9/2026,4/9/2025,Denise Lee,Manufacturing,Asia
"Mcgrath, Salazar and Perez",proposal,"$88,603.03 ",7/9/2026,2/9/2025,Brittany Chaney,Education,Europe
Davis and Sons,proposal,37026.67,3/15/2026,4/2/2025,Jennifer Cox,Manufacturing,North America
Bates Ltd,negotiation,59513.32,5/23/2026,4/22/2025,,Education,Asia
Jimenez Ltd,negotiation,2926.61,6/10/2026,1/18/2025,,Technology,South America
"Gonzalez, Jarvis and Cohen",Prospecting,53771.72,10/26/2025,1/26/2025,Spencer Stanley,Retail,Europe
Parker-Brown,Proposal,65289.77,,1/16/2025,David Potter,Healthcare,South America
Bates Ltd,CLOSED LOST,23552.1,1/31/2026,4/30/2025,Mark Lopez,Manufacturing,Asia
Martin-Hernandez,Negotiation,85961.6,8/8/2026,3/24/2025,Rebecca Spence,Retail,
Liu-Malone,QUALIFICATION,66949.32,7/23/2026,4/13/2025,Traci Bell DDS,Healthcare,South America
Rodriguez Group,Proposal,54445.46,2/22/2026,1/22/2025,Denise Lee,,South America
Liu-Malone,qualification,30316.15,1/28/2026,3/25/2025,Catherine Ray,Retail,South America
Wilson and Sons,Proposal,5428.01,6/28/2026,5/28/2025,Alexandra Ramos,Healthcare,Asia
"Kaufman, Abbott and Mendez",closed lost,20594.42,10/18/2025,4/28/2025,Craig Johnson,Technology,North America
"Thompson, Nelson and Peterson",proposal,72250.56,9/28/2026,3/4/2025,Kristen Obrien,Manufacturing,Europe
Tyler Group,Closed Lost,91125.03,10/16/2026,4/13/2025,Catherine Ray,Healthcare,Europe
"Smith, Grant and Allen",Closed Lost,92286.99,11/7/2026,3/27/2025,Mark Lopez,Healthcare,South America
Schultz-Waller,NEGOTIATION,95839.82,11/22/2026,5/10/2025,Kristen Obrien,Healthcare,South America
"Sosa, Scott and Goodwin",qualification,"$7,144.77 ",,5/22/2025,Amanda Owens,Manufacturing,Europe
Rodriguez Group,CLOSED WON,1981.31,8/7/2026,4/23/2025,David Rocha,Finance,Europe
Myers Ltd,Negotiation,83262.14,,3/25/2025,Jason Hudson,Technology,North America
"Fisher, Sweeney and Newman",QUALIFICATION,2914.32,,5/11/2025,Mark Lopez,Manufacturing,
Smith-Moore,closed won,73661.05,4/24/2026,4/5/2025,James Burke,Finance,Asia
"Hoffman, Thomas and Hawkins",PROSPECTING,"$1,699.43 ",4/4/2026,3/4/2025,Jennifer Cox,Healthcare,Asia
"Hoffman, Thomas and Hawkins",Closed Won,85398.66,7/15/2026,4/25/2025,Amanda Owens,Retail,
Myers Ltd,Closed Won,26671.1,5/13/2026,4/19/2025,Richard Warren,Technology,Europe
Davis and Sons,Closed Won,10665.31,6/9/2026,3/18/2025,Mark Lopez,Healthcare,Europe
Black Group,NEGOTIATION,,11/18/2026,,Ryan Mann,Finance,Europe
Lang-Freeman,CLOSED LOST,10720.84,4/15/2026,1/2/2025,Marissa Perry,Healthcare,South America
Nichols Ltd,closed won,26137.62,10/9/2025,3/3/2025,Marissa Perry,Retail,North America
Bolton-Curry,proposal,79805.16,,1/5/2025,Yvette Griffith,Finance,Asia
Kennedy-Thornton,Closed Won,96485.8,11/13/2026,5/18/2025,David Potter,Manufacturing,Europe
Green LLC,prospecting,86420.64,9/1/2026,5/24/2025,Alexandra Ramos,Manufacturing,North America
Holland-Matthews,Closed Won,11807.53,7/20/2026,3/16/2025,Alexandra Ramos,Technology,South America
Carr PLC,prospecting,57325.56,3/8/2026,1/7/2025,Denise Lee,Finance,Europe
Romero PLC,negotiation,70581.17,11/30/2025,4/12/2025,Mark Lopez,Healthcare,North America
"Gonzalez, Jarvis and Cohen",closed lost,53036.91,10/27/2025,2/25/2025,Kathleen Harris,Manufacturing,Europe
Holland-Matthews,Prospecting,86054.77,8/22/2026,3/21/2025,Marissa Perry,Education,South America
Johnson Ltd,Proposal,59769.11,10/10/2025,2/13/2025,Kristen Obrien,Technology,Asia
Roman-Parker,Negotiation,"$50,120.52 ",8/22/2026,,,Retail,Asia
Brooks LLC,Negotiation,69784.24,6/4/2026,4/5/2025,Robert Moore,Manufacturing,North America
Grant-Phillips,Negotiation,66605.04,10/14/2026,4/15/2025,Jason Hudson,Retail,South America
Romero PLC,,92539.02,6/25/2026,3/15/2025,Mark Lopez,Healthcare,South America
"Burke, Gonzalez and Mcknight",Closed Won,5271.31,11/12/2025,,Yvette Griffith,Finance,South America
"Mcgrath, Salazar and Perez",Closed Lost,2877.58,10/18/2025,1/19/2025,Rebecca Spence,Healthcare,North America
Wright-Moran,Prospecting,15880.46,11/23/2025,1/10/2025,Alexandra Ramos,,Asia
Lane-Price,qualification,87574.22,,4/25/2025,Rebecca Spence,Technology,South America
"Allen, Richardson and Nguyen",Closed Lost,99876.49,10/4/2026,3/2/2025,Denise Lee,Technology,South America
Davis and Sons,Prospecting,70057.83,11/2/2026,1/10/2025,Richard Warren,Education,South America
Campbell-Hanson,qualification,"$90,553.99 ",10/7/2025,2/18/2025,Denise Lee,Healthcare,South America
Parker-Brown,negotiation,47653.07,12/15/2026,2/4/2025,Jennifer Cox,Education,South America
"Mills, Moran and Strickland",proposal,59986.18,3/24/2026,4/21/2025,Craig Johnson,Technology,Europe
Mclaughlin Inc,closed lost,53768.27,6/17/2026,4/12/2025,Jennifer Cox,Retail,Asia
Cabrera-Blake,Closed Lost,,4/16/2026,5/14/2025,Mark Lopez,Finance,Asia
Pineda Ltd,Closed Won,,11/29/2025,5/25/2025,Robert Moore,Healthcare,North America
Holland-Matthews,Proposal,40706.56,3/4/2026,4/4/2025,Yvette Griffith,Technology,North America
"Fisher, Sweeney and Newman",Prospecting,10792.79,6/26/2026,2/28/2025,Marissa Perry,Manufacturing,North America
Harrell and Sons,,21392.27,12/27/2025,1/27/2025,Denise Lee,Education,Europe
Small PLC,negotiation,42387.77,,2/25/2025,Miss Dorothy Collins DVM,Healthcare,Asia
"Sexton, Williams and Solis",prospecting,44314.92,11/13/2026,2/9/2025,Jennifer Cox,Education,Europe
Roman-Parker,Prospecting,58704.9,11/21/2026,3/21/2025,Mark Lopez,Finance,North America
Hurst and Sons,Prospecting,4366.21,11/28/2025,2/14/2025,Mark Lopez,Manufacturing,South America
Black Group,Closed Won,75408.2,5/2/2026,4/4/2025,Jessica Ball,,Asia
Carr PLC,qualification,89618.95,12/26/2025,3/16/2025,Amanda Owens,Education,Asia
"Kaufman, Abbott and Mendez",closed lost,44054.43,11/18/2025,2/12/2025,Jonathan Patterson,Technology,Asia
Smith-Moore,Prospecting,12740.89,11/7/2026,4/3/2025,David Potter,Education,South America
Lyons Inc,PROPOSAL,68969.97,1/24/2026,5/31/2025,David Rocha,Healthcare,Asia
"Thompson, Nelson and Peterson",Qualification,"$16,433.77 ",9/27/2026,4/26/2025,Denise Lee,Healthcare,Asia
"Oliver, Beltran and Anderson",Qualification,95385.91,5/30/2026,3/23/2025,Catherine Ray,Retail,Asia
Lane-Price,closed lost,19829.18,9/16/2026,2/6/2025,Martin Johnston,Finance,South America
"Johnson, Brown and Robinson",prospecting,29065.55,9/9/2026,4/25/2025,,Finance,Asia
Holland-Matthews,proposal,35629.81,7/25/2026,5/5/2025,Rebecca Spence,Healthcare,North America
Gallagher-Ellis,Closed Lost,8008.23,8/15/2026,1/30/2025,Denise Lee,Education,Europe
Schultz-Waller,QUALIFICATION,99998.26,6/27/2026,3/14/2025,Alexandra Ramos,Healthcare,Europe
"Davis, Woods and Lewis",Qualification,"$9,527.32 ",10/28/2026,5/7/2025,Traci Bell DDS,Manufacturing,Europe
"Sosa, Scott and Goodwin",Proposal,66685.88,7/28/2026,1/9/2025,Yvette Griffith,Manufacturing,North America
Jimenez Ltd,Closed Won,46283.89,8/19/2026,1/23/2025,Mark Lopez,Technology,North America
Nichols Ltd,NEGOTIATION,46929.84,10/15/2026,4/24/2025,Brittany Chaney,Healthcare,South America
Myers Ltd,PROPOSAL,2584.62,4/30/2026,6/1/2025,Martin Johnston,Finance,
Meyer-Kelly,Prospecting,17425.15,10/31/2025,4/15/2025,Robert Moore,Healthcare,South America
"Sosa, Scott and Goodwin",NEGOTIATION,63833.44,10/14/2025,5/10/2025,David Rocha,Manufacturing,North America
Jackson-Simon,PROSPECTING,64606.91,5/2/2026,2/1/2025,Richard Warren,Finance,Europe
,prospecting,97411.82,2/6/2026,4/4/2025,Kristen Obrien,Healthcare,Asia
Myers Ltd,,10204.9,6/29/2026,3/22/2025,Kristen Obrien,Technology,Asia
Mclaughlin Inc,closed lost,56404.05,12/2/2025,2/18/2025,Kathleen Harris,Retail,Asia
"Lynch, Johnson and Hester",Qualification,21273.77,4/4/2026,3/1/2025,Ryan Mann,Retail,South America
Davis and Sons,,4159.49,12/2/2026,2/24/2025,Ryan Mann,Healthcare,Asia
Castaneda-Phillips,Closed Lost,14694.11,6/9/2026,2/25/2025,Richard Warren,Retail,North America
Spencer-Wright,closed won,16919.5,12/7/2025,5/10/2025,Brittany Chaney,Technology,South America
"Johnson, Brown and Robinson",QUALIFICATION,68619.74,3/30/2026,1/5/2025,Alexandra Ramos,Manufacturing,Europe
Lang-Freeman,Qualification,68434.56,1/24/2026,1/24/2025,James Burke,Healthcare,Europe
Hurst and Sons,PROPOSAL,23263.67,11/21/2025,1/17/2025,Martin Johnston,Manufacturing,
Ramirez PLC,closed won,66785.35,3/17/2026,2/16/2025,Bradley Macdonald,Manufacturing,Europe
Graham-Simon,Negotiation,"$3,861.44 ",3/23/2026,1/16/2025,Jessica Ball,Technology,Europe
"Villegas, Gomez and Ortiz",proposal,20139.39,11/22/2026,5/21/2025,Catherine Ray,Education,North America
Lyons Inc,Qualification,61556.39,11/4/2025,3/19/2025,Spencer Stanley,Healthcare,North America
"Lynch, Johnson and Hester",prospecting,5666.62,11/3/2025,3/28/2025,Bradley Macdonald,Healthcare,Europe
Williams Ltd,Closed Lost,45796.17,,3/29/2025,,Healthcare,Asia
Orr Ltd,Negotiation,,12/30/2025,4/10/2025,Kristen Obrien,Manufacturing,South America
Kennedy-Thornton,,21092.52,4/24/2026,4/2/2025,Robert Moore,,North America
Hurst and Sons,closed lost,32855.64,10/25/2025,2/27/2025,Robert Moore,Retail,Europe
Terry-Baldwin,Proposal,19826.1,3/22/2026,3/5/2025,Jason Hudson,Manufacturing,Asia
Robinson Ltd,prospecting,17672.59,2/2/2026,3/15/2025,Craig Johnson,Technology,South America
Spencer-Wright,,,8/2/2026,3/20/2025,Kristen Obrien,Healthcare,South America
Lane-Price,Prospecting,69723.97,3/12/2026,5/21/2025,Jessica Ball,Technology,Europe
"Allen, Richardson and Nguyen",PROPOSAL,66951.5,10/4/2026,5/29/2025,Richard Warren,Education,North America
"Kaufman, Abbott and Mendez",PROSPECTING,72559.13,8/25/2026,2/28/2025,Martin Johnston,Healthcare,Europe
Tyler Group,Closed Won,87224.19,8/11/2026,2/12/2025,Rebecca Spence,Education,Asia
Parks Inc,Qualification,71641.77,3/15/2026,5/17/2025,Martin Johnston,Finance,
"Fisher, Sweeney and Newman",Negotiation,2808.66,10/8/2025,5/22/2025,,Healthcare,South America
Ramirez PLC,closed lost,50992.14,5/11/2026,3/21/2025,Miss Dorothy Collins DVM,Technology,Asia
"Gonzalez, Jarvis and Cohen",negotiation,87967.18,2/28/2026,3/17/2025,Miss Dorothy Collins DVM,Finance,Asia
Orr Ltd,Closed Lost,"$46,469.20 ",1/10/2026,,Spencer Stanley,Manufacturing,South America
Roman-Parker,Qualification,38561.53,7/8/2026,5/20/2025,Miss Dorothy Collins DVM,Education,South America
Paul Ltd,Closed Won,82364.77,7/22/2026,5/8/2025,Spencer Stanley,Education,North America
Carr PLC,proposal,88058.26,1/7/2026,3/31/2025,Brittany Chaney,Manufacturing,South America
Brown-Black,Prospecting,92358.77,7/1/2026,3/12/2025,Jennifer Cox,Finance,Europe
Paul Ltd,CLOSED WON,5069.7,11/6/2026,5/10/2025,Miss Dorothy Collins DVM,Finance,North America
Hurst and Sons,Closed Won,31976.25,12/7/2025,1/25/2025,Richard Warren,Retail,
,closed won,,11/15/2025,3/15/2025,Amanda Owens,Healthcare,Asia
Bolton-Curry,proposal,76029.74,6/2/2026,4/14/2025,Alexandra Ramos,Retail,North America
Hernandez PLC,Closed Lost,87887.56,11/30/2025,2/2/2025,Martin Johnston,Technology,Asia
Pineda Ltd,Proposal,42893.66,10/17/2026,3/15/2025,Jessica Ball,Education,Europe
Sanchez Inc,Closed Lost,48141.22,3/31/2026,2/6/2025,Jonathan Patterson,Education,North America
Larson-Erickson,Closed Won,"$56,978.68 ",11/29/2025,1/19/2025,Jennifer Cox,Technology,Asia
Castaneda-Phillips,NEGOTIATION,41587.39,3/13/2026,4/16/2025,Alexandra Ramos,Healthcare,Europe
"Crane, Spears and Adams",,19759.4,8/11/2026,3/13/2025,Richard Warren,Finance,Europe
"Allen, Richardson and Nguyen",NEGOTIATION,28107.48,11/30/2026,1/20/2025,,Manufacturing,North America
"Thompson, Nelson and Peterson",closed won,34055.04,8/23/2026,2/26/2025,Miss Dorothy Collins DVM,Manufacturing,South America
Johnson Ltd,QUALIFICATION,88267.93,12/18/2025,5/11/2025,Amanda Owens,Healthcare,
Hurst and Sons,Prospecting,59960.71,,1/15/2025,Kimberly Morgan,Manufacturing,Europe
Graham-Simon,NEGOTIATION,20696.6,8/23/2026,2/5/2025,Jennifer Cox,Education,Asia
Roman-Parker,QUALIFICATION,98078.87,7/24/2026,1/25/2025,Jessica Ball,Healthcare,North America
,closed won,31887.8,2/14/2026,4/12/2025,David Potter,Healthcare,Europe
Parks Inc,proposal,91300.94,7/19/2026,4/14/2025,Catherine Ray,Education,Asia
Parker-Brown,closed won,30334.26,11/27/2025,5/24/2025,Richard Warren,Retail,Asia
Hall-Sparks,Negotiation,84453.12,7/9/2026,3/3/2025,Miss Dorothy Collins DVM,Retail,South America
Hernandez PLC,Closed Lost,81644.49,9/21/2026,2/24/2025,Kimberly Morgan,Retail,Asia
Compton Inc,Proposal,43372.4,1/19/2026,3/2/2025,Alexandra Ramos,Retail,Europe
Brooks LLC,Closed Lost,6517.45,2/4/2026,1/21/2025,Jason Hudson,Healthcare,North America
"Griffith, Mejia and Rodriguez",qualification,43658.97,7/3/2026,2/21/2025,James Burke,Finance,Europe
Williams Ltd,Qualification,81825.36,10/4/2025,3/13/2025,David Rocha,Manufacturing,Asia
Liu-Malone,Negotiation,96676.56,6/3/2026,5/28/2025,Jennifer Cox,,North America
"Pearson, James and Wagner",negotiation,8837.1,6/4/2026,5/20/2025,Bradley Macdonald,Technology,Asia
Smith-Moore,closed lost,75304.63,9/5/2026,2/4/2025,Yvette Griffith,Retail,North America
Roman-Parker,prospecting,89062.02,8/8/2026,5/19/2025,Richard Warren,Technology,Europe
"Moreno, Griffin and Lewis",closed won,71664.68,10/2/2026,5/6/2025,Martin Johnston,Technology,North America
Sweeney-Graves,Qualification,16442.22,12/3/2026,1/16/2025,Richard Warren,Manufacturing,North America
,Negotiation,23249.94,12/3/2026,4/11/2025,Kathleen Harris,,North America
Green Inc,Qualification,97182.92,5/18/2026,3/17/2025,Jennifer Cox,,North America
,Qualification,63740.42,11/27/2026,1/22/2025,David Potter,Healthcare,Asia
Campbell-Hanson,prospecting,74446.61,4/16/2026,6/1/2025,Jennifer Cox,Healthcare,Europe
Myers Ltd,Proposal,89052.49,7/22/2026,3/3/2025,Traci Bell DDS,Healthcare,Asia
Tucker and Sons,closed lost,"$22,231.95 ",6/6/2026,5/13/2025,,Manufacturing,South America
Wilson and Sons,closed won,59595.14,3/1/2026,3/3/2025,Kristen Obrien,Healthcare,South America
"Kaufman, Abbott and Mendez",,11304.68,10/24/2026,4/4/2025,Bradley Macdonald,Manufacturing,
"Pearson, James and Wagner",Closed Won,55578.46,12/31/2025,3/14/2025,Yvette Griffith,Healthcare,Europe
Bates Ltd,Qualification,70682.02,9/23/2026,1/20/2025,Michael Horton,Education,Asia
Lyons Inc,Closed Won,45711.29,8/13/2026,3/20/2025,Miss Dorothy Collins DVM,Retail,North America
Sanchez Inc,closed won,82507.98,,3/2/2025,Nicole Curtis,Healthcare,
Brown-Mcpherson,Prospecting,19057.37,1/7/2026,1/3/2025,Spencer Stanley,Manufacturing,Europe
"Allen, Richardson and Nguyen",proposal,6502.73,5/4/2026,4/27/2025,Kimberly Morgan,Technology,
"Fisher, Sweeney and Newman",closed lost,19301.15,3/17/2026,5/25/2025,,Manufacturing,North America
,Qualification,56718.79,10/1/2026,3/7/2025,Miss Dorothy Collins DVM,Manufacturing,South America
